iter	Logloss
0	0.6491774052
1	0.6122983886
2	0.5774860508
3	0.5458777136
4	0.5197197965
5	0.4964783153
6	0.4765557446
7	0.4592244147
8	0.4440974148
9	0.4306590117
10	0.4183694417
11	0.4079272386
12	0.3986380968
13	0.3903817932
14	0.3829297319
15	0.3759545851
16	0.3700175616
17	0.3649924508
18	0.3603617086
19	0.3555019723
20	0.3515295
21	0.3479127277
22	0.3442915597
23	0.3410207453
24	0.3384756292
25	0.3357454645
26	0.3336313049
27	0.3317870126
28	0.3293992058
29	0.3272654375
30	0.3262077107
31	0.3249339901
32	0.3238570376
33	0.3230581668
34	0.3210801167
35	0.3200641775
36	0.3154230411
37	0.3138931135
38	0.3126904398
39	0.3115935095
40	0.3105464449
41	0.309665527
42	0.3078144049
43	0.3075901303
44	0.3057834826
45	0.3045582775
46	0.3036138038
47	0.3026811328
48	0.3014281829
49	0.3004507005
50	0.2998246984
51	0.2988778737
52	0.2978898247
53	0.2964461158
54	0.2957214756
55	0.2945507403
56	0.2939298545
57	0.2937999391
58	0.2917642993
59	0.2908510644
60	0.2898717299
61	0.288859261
62	0.2877370383
63	0.2872112219
64	0.2859207163
65	0.2845974057
66	0.2836935231
67	0.2824900846
68	0.2816352964
69	0.2772215963
70	0.2763890818
71	0.2746103679
72	0.2742150409
73	0.2736155831
74	0.273124703
75	0.2729243865
76	0.2714943361
77	0.2711580733
78	0.2702060848
79	0.2692755139
80	0.2677322971
81	0.2671943402
82	0.2663903814
83	0.2650699135
84	0.2646648128
85	0.2638339016
86	0.2623560925
87	0.2616095682
88	0.2609977259
89	0.2603274838
90	0.2589277428
91	0.2584564841
92	0.2574528549
93	0.2557679668
94	0.2557173002
95	0.2557149397
96	0.2551933677
97	0.2548691305
98	0.254438009
99	0.2534816163
100	0.2530734665
101	0.2527323499
102	0.2521619698
103	0.2514252046
104	0.251185398
105	0.2504915695
106	0.249783744
107	0.2493061113
108	0.2469912173
109	0.2455486067
110	0.2452431823
111	0.244745539
112	0.2442183931
113	0.2434196111
114	0.243259905
115	0.2430090359
116	0.2427278492
117	0.2425474505
118	0.2424471718
119	0.2417997739
120	0.241245154
121	0.2392040924
122	0.2389515909
123	0.2381209984
124	0.2368730509
125	0.236229987
126	0.2360451612
127	0.2358795443
128	0.2352274697
129	0.2347455674
130	0.2344476773
131	0.2338861958
132	0.2334931937
133	0.2331513426
134	0.231994296
135	0.2313559698
136	0.2303170769
137	0.230159799
138	0.2296450007
139	0.2290705701
140	0.2287003999
141	0.2284999023
142	0.2284223227
143	0.2278007733
144	0.2275979065
145	0.2266225199
146	0.2261812289
147	0.2258200521
148	0.2247050447
149	0.2232967339
150	0.2232562601
151	0.2225640593
152	0.2221682543
153	0.2219905902
154	0.2216686183
155	0.2195883842
156	0.2191370316
157	0.2175915126
158	0.2172046809
159	0.216739659
160	0.2164992778
161	0.2155524212
162	0.2148876454
163	0.2142068471
164	0.2130260243
165	0.2126606252
166	0.2116727968
167	0.2113362309
168	0.210829369
169	0.2102789794
170	0.2100945021
171	0.2094096869
172	0.208478385
173	0.2068757923
174	0.2058836847
175	0.2055121419
176	0.2044305106
177	0.2036598853
178	0.2022986256
179	0.2011628878
180	0.2008611659
181	0.2002201813
182	0.1991232376
183	0.1988215674
184	0.1985826382
185	0.1985048764
186	0.1983398222
187	0.1978686025
188	0.1978083012
189	0.1964754387
190	0.1953576989
191	0.1948750262
192	0.1947000078
193	0.1932441727
194	0.1930588723
195	0.1924000479
196	0.1910598755
197	0.1909983605
198	0.1909437901
199	0.1904857716
200	0.1887967018
201	0.1887444789
202	0.1885392732
203	0.1873068011
204	0.1872576035
205	0.1871983985
206	0.187150166
207	0.1861541213
208	0.1861054554
209	0.1855658498
210	0.1853194242
211	0.1852738312
212	0.1852297377
213	0.185186051
214	0.1842480585
215	0.183211956
216	0.1821955073
217	0.1811584331
218	0.1803831745
219	0.1800664955
220	0.1786231606
221	0.1785810887
222	0.1785396471
223	0.1781855777
224	0.1773668411
225	0.1764240772
226	0.176384604
227	0.1759539774
228	0.1759157757
229	0.1758808703
230	0.1745766277
231	0.1740944664
232	0.1736522368
233	0.1728083747
234	0.17251425
235	0.1714926467
236	0.1714508025
237	0.1705997769
238	0.1694238447
239	0.1693914575
240	0.1693525462
241	0.1686139257
242	0.1680933432
243	0.167742821
244	0.1677061179
245	0.1666557569
246	0.1665248714
247	0.1659107127
248	0.1649544057
249	0.164246614
250	0.1639362232
251	0.1639021776
252	0.1633535746
253	0.1630202934
254	0.162430175
255	0.1623984113
256	0.1616641702
257	0.1612166382
258	0.160600589
259	0.1598955487
260	0.1591256683
261	0.158654415
262	0.1577812611
263	0.1570001523
264	0.1568852668
265	0.1563119628
266	0.1558052694
267	0.1550327032
268	0.1544912488
269	0.1543404613
270	0.1537300849
271	0.1534731044
272	0.1534451728
273	0.1526760959
274	0.1521004992
275	0.1517150344
276	0.1511678432
277	0.1504609499
278	0.1496547075
279	0.1492521647
280	0.1491457371
281	0.1486554968
282	0.1485717719
283	0.1479422131
284	0.1474100219
285	0.1473885231
286	0.1467563465
287	0.1463930701
288	0.1457569004
289	0.1452616001
290	0.144938123
291	0.1449174123
292	0.1448958213
293	0.1447972911
294	0.1447780906
295	0.1443118777
296	0.1438456471
297	0.1433157967
298	0.1426982098
299	0.1420897679
